Nr. ,Name ,Wahlbe rechtigte,abgegeb. ,Wahlbet. in %,ungültige Stimmen,ungültige in %,gültige Stimmen,gültige in %,ÖVP Stimmen,ÖVP Ant. %,SPÖ Stimmen,SPÖ Ant. %,FPÖ Stimmen,FPÖ Ant. %,NEOS Stimmen,NEOS Ant. %,JETZT Stimmen,JETZT Ant. %,GRÜNE Stimmen,GRÜNE Ant. %,KPÖ Stimmen,KPÖ Ant. %,SLP Stimmen,SLP Ant. %,WANDL Stimmen,WANDL Ant. %,erste Eingabe Datum, Zeit,letzte Eingabe Datum, Zeit
4E000,Mühlviertel,221009,182480,82.569999999999993,3139,1.72,179341,98.280000000000001,75139,41.899999999999999,35703,19.91,27201,15.17,12693,7.0800000000000001,2234,1.25,24627,13.73,891,0.5,68,0.040000000000000001,785,0.44,29.09.2019,19:17:45,03.10.2019,13:50:14
49059,Wahlkarten Mühlviertel,0,609,0,9,1.48,600,98.519999999999996,136,22.670000000000002,71,11.83,57,9.5,78,13,24,4,227,37.829999999999998,4,0.67000000000000004,2,0.33000000000000002,1,0.17000000000000001,03.10.2019,13:50:14,03.10.2019,13:50:14
40100,Linz,138154,97157,70.329999999999998,957,0.98999999999999999,96200,99.010000000000005,24043,24.989999999999998,27416,28.5,13464,14,8201,8.5199999999999996,2066,2.1499999999999999,19356,20.120000000000001,968,1.01,64,0.070000000000000007,622,0.65000000000000002,29.09.2019,19:29:04,30.09.2019,16:06:17
40101,Linz,138154,73739,53.369999999999997,800,1.0800000000000001,72939,98.920000000000002,18256,25.030000000000001,21794,29.879999999999999,11252,15.43,5561,7.6200000000000001,1682,2.3100000000000001,13188,18.079999999999998,738,1.01,50,0.070000000000000007,418,0.56999999999999995,29.09.2019,19:29:04,29.09.2019,19:29:04
40199,Wahlkarten Linz,0,23418,0,157,0.67000000000000004,23261,99.329999999999998,5787,24.879999999999999,5622,24.170000000000002,2212,9.5099999999999998,2640,11.35,384,1.6499999999999999,6168,26.52,230,0.98999999999999999,14,0.059999999999999998,204,0.88,30.09.2019,16:06:17,30.09.2019,16:06:17
40200,Steyr,27006,19588,72.530000000000001,243,1.24,19345,98.760000000000005,4573,23.640000000000001,6975,36.060000000000002,3300,17.059999999999999,1101,5.6900000000000004,362,1.8700000000000001,2770,14.32,155,0.80000000000000004,9,0.050000000000000003,100,0.52000000000000002,29.09.2019,19:04:33,30.09.2019,13:41:17
40201,Steyr,27006,16521,61.18,226,1.3700000000000001,16295,98.629999999999995,3774,23.16,6058,37.18,2959,18.16,835,5.1200000000000001,309,1.8999999999999999,2137,13.109999999999999,133,0.81999999999999995,9,0.059999999999999998,81,0.5,29.09.2019,19:04:33,29.09.2019,19:04:33
40299,Wahlkarten Steyr,0,3067,0,17,0.55000000000000004,3050,99.450000000000003,799,26.199999999999999,917,30.07,341,11.18,266,8.7200000000000006,53,1.74,633,20.75,22,0.71999999999999997,0,0,19,0.62,30.09.2019,13:41:17,30.09.2019,13:41:17
40300,Wels,39157,27272,69.650000000000006,369,1.3500000000000001,26903,98.650000000000006,7339,27.280000000000001,7651,28.440000000000001,5322,19.780000000000001,2020,7.5099999999999998,412,1.53,3853,14.32,171,0.64000000000000001,6,0.02,129,0.47999999999999998,29.09.2019,17:28:04,30.09.2019,13:44:45
40301,Wels,39157,22631,57.799999999999997,342,1.51,22289,98.489999999999995,5923,26.57,6614,29.670000000000002,4636,20.800000000000001,1559,6.9900000000000002,360,1.6200000000000001,2929,13.140000000000001,156,0.69999999999999996,5,0.02,107,0.47999999999999998,29.09.2019,17:28:04,29.09.2019,18:49:52
