WAHLKREIS,WAHL,'SPÖ','ÖVP','GRÜNE','FPÖ'
Piberbach,2017,282,333,36,287
Traun,2017,4108,2281,278,3121
Allerheiligen im Mühlkreis,2017,196,305,14,202
Dimbach,2017,133,255,5,168
Langenstein,2017,618,339,33,399
Luftenberg an der Donau,2017,848,540,66,661
Münzbach,2017,121,457,10,297
Reichersberg,2017,132,295,17,284
St.Marienkirchen am Hausruck,2017,70,224,7,177
Waldzell,2017,249,447,17,438
Gosau,2017,395,270,11,234
St.Wolfgang im Salzkammergut,2017,334,557,26,361
Pram,2017,199,317,28,307
Rottenbach,2017,100,197,16,270
St.Thomas,2017,52,128,14,109
Wallern an der Trattnach,2017,450,481,59,539
Oberschlierbach,2017,59,121,11,61
Hörsching,2017,921,854,95,1061
Schärding,2017,7442,14621,1039,12803
Adlwang,2017,161,429,23,273
Garsten,2017,1011,1133,161,993
Atzbach,2017,72,315,22,242
Frankenburg am Hausruck,2017,794,846,62,952
Frankenmarkt,2017,416,699,55,591
Neukirchen an der Vöckla,2017,309,558,43,454
Ottnang am Hausruck,2017,580,649,62,721
Pilsbach,2017,110,145,11,88
Puchkirchen am Trattberg,2017,130,238,10,130
Redlham,2017,237,272,28,249
Regau,2017,992,1004,131,1131
Rutzenham,2017,20,69,9,41
Schwanenstadt,2017,540,517,106,597
Seewalchen am Attersee,2017,885,796,102,814
Steinbach am Attersee,2017,86,194,34,98
Straß im Attergau,2017,114,321,17,292
Herzogsdorf,2017,257,629,43,377
Attersee,2017,218,307,28,174
Lembach im Mühlkreis,2017,161,360,20,256
Lichtenau im Mühlkreis,2017,38,143,6,77
Weyregg am Attersee,2017,189,302,33,206
Fischlham,2017,170,308,15,216
Stadl-Paura,2017,650,430,66,895
Steinhaus,2017,215,333,28,461
Weißkirchen an der Traun,2017,494,596,38,576
Pfaffstätt,2017,116,181,14,167
Pischelsdorf am Engelbach,2017,117,397,20,343
Schalchen,2017,486,598,46,662
Hirschbach im Mühlkreis,2017,174,311,34,132
Weitersfelden,2017,139,303,16,135
Steyr,2017,15715,7082,1355,10770
Helpfau-Uttendorf,2017,282,553,25,544
Pucking,2017,589,602,55,818
Grein,2017,396,538,33,437
Naarn im Machlande,2017,564,801,20,602
Pabneukirchen,2017,165,426,17,283
St.Georgen am Walde,2017,320,465,13,345
Schwertberg,2017,1057,777,88,695
Senftenbach,2017,83,151,6,126
Taiskirchen im Innkreis,2017,249,595,59,435
Weilbach,2017,44,159,10,99
Bad Goisern am Hallstättersee,2017,1484,811,86,1184
Gschwandt,2017,399,551,42,448
Traunkirchen,2017,257,295,37,164
Gaspoltshofen,2017,365,582,69,678
Heiligenberg,2017,45,230,7,146
