PARTEI,WAHLKREIS,'29.09.19','15.10.17'
SLP,Rohrbach,6,5
SLP,Neufelden,0,0
SLP,Oberkappel,0,0
SLP,St.Konrad,0,0
SLP,Scharnstein,0,1
SLP,Grieskirchen,10,7
SLP,Bad Schallerbach,0,1
SLP,Neukirchen am Walde,0,0
SLP,Schlüßlberg,0,0
SLP,Klaus an der Pyhrnbahn,0,0
SLP,Micheldorf in Oberösterreich,2,0
SLP,Ried im Traunkreis,0,1
SLP,St.Pankraz,0,0
SLP,Allhaming,0,0
SLP,Ansfelden,1,0
SLP,Hofkirchen im Traunkreis,1,0
SLP,Gaflenz,2,0
SLP,Sierning,1,1
SLP,Weyer,0,0
SLP,Regau,2,0
SLP,Zell am Moos,0,0
SLP,Holzhausen,0,0
SLP,Sattledt,0,0
SLP,Lichtenberg,0,0
SLP,Puchenau,0,1
SLP,Walding,0,0
SLP,Ampflwang im Hausruckwald,1,0
SLP,Atzbach,0,0
SLP,Frankenmarkt,0,0
SLP,Innerschwand,0,0
SLP,Pitzenberg,1,0
SLP,Aigen-Schlägl,0,0
SLP,Esternberg,1,1
SLP,Schardenberg,1,0
SLP,Taufkirchen an der Pram,0,0
SLP,Zell an der Pram,0,0
GRÜNE,St.Marienkirchen an d. Polsenz,140,43
NEOS,St.Marienkirchen bei Schärding,38,24
FPÖ,Mondsee,207,360
FPÖ,Niederthalheim,106,233
FPÖ,Oberwang,182,302
FPÖ,Pitzenberg,56,92
FPÖ,Seewalchen am Attersee,484,814
FPÖ,Vöcklamarkt,478,739
FPÖ,Eidenberg,128,231
FPÖ,Feldkirchen an der Donau,538,821
FPÖ,Haibach im Mühlkreis,78,129
FPÖ,Ottenschlag im Mühlkreis,61,92
FPÖ,Lichtenau im Mühlkreis,51,77
FPÖ,Neufelden,81,145
FPÖ,St.Johann am Wimberg,113,187
FPÖ,St.Ulrich im Mühlkreis,49,86
FPÖ,Eggerding,146,282
FPÖ,Riedau,200,319
FPÖ,Edt bei Lambach,242,419
FPÖ,Lambach,281,453
FPÖ,Pichl bei Wels,330,503
GRÜNE,St.Peter am Hart,127,26
GRÜNE,Schalchen,162,46
GRÜNE,Treubach,18,3
GRÜNE,Ueberackern,15,2
GRÜNE,Scharten,173,42
GRÜNE,Unterweißenbach,68,23
GRÜNE,Waldburg,101,31
GRÜNE,Wartberg ob der Aist,356,104
GRÜNE,Weitersfelden,47,16
GRÜNE,Aspach,69,26
GRÜNE,Eggelsberg,88,56
GRÜNE,Franking,50,8
GRÜNE,Mauerkirchen,62,20
GRÜNE,Mining,74,16
GRÜNE,Leonding,2163,566
GRÜNE,Neuhofen an der Krems,500,140
GRÜNE,St.Marien,299,68
GRÜNE,Ried in der Riedmark,261,83
GRÜNE,Antiesenhofen,21,10
GRÜNE,Eberschwang,153,53
GRÜNE,Eitzing,29,11
GRÜNE,Geinberg,45,15
GRÜNE,Kirchdorf am Inn,20,6
GRÜNE,St.Marienkirchen am Hausruck,51,7
GRÜNE,Taiskirchen im Innkreis,151,59
GRÜNE,Rohrbach,4058,1251
GRÜNE,Ohlsdorf,321,106
GRÜNE,St.Konrad,44,15
GRÜNE,Bad Schallerbach,214,65
GRÜNE,Micheldorf in Oberösterreich,370,120
GRÜNE,Oberschlierbach,44,11
GRÜNE,Eggendorf im Traunkreis,49,10
GRÜNE,Enns,642,169
GRÜNE,Hofkirchen im Traunkreis,132,38
GRÜNE,Kirchberg-Thening,183,69
GRÜNE,Gampern,237,68
GRÜNE,Lenzing,224,61
GRÜNE,Redleiten,21,9
GRÜNE,Wolfern,169,34
GRÜNE,Feldkirchen an der Donau,409,108
GRÜNE,Kirchschlag bei Linz,201,54
GRÜNE,Sonnberg im Mühlkreis,75,22
GRÜNE,Niederwaldkirchen,124,29
GRÜNE,St.Ulrich im Mühlkreis,51,22
GRÜNE,Sarleinsbach,127,58
GRÜNE,Schwarzenberg am Böhmerwald,14,6
GRÜNE,Ulrichsberg,129,47
GRÜNE,Zell am Pettenfirst,106,38
GRÜNE,Krenglbach,193,50
GRÜNE,Steinhaus,88,28
ÖVP,Pischelsdorf am Engelbach,408,397
ÖVP,St.Johann am Walde,405,340
ÖVP,Schalchen,742,598
ÖVP,Aschach an der Donau,304,291
ÖVP,Kefermarkt,492,475
ÖVP,Lasberg,776,684
ÖVP,Pierbach,297,227
ÖVP,Unterweitersdorf,396,383
ÖVP,Hausruckviertel,77480,69393
ÖVP,Eggelsberg,485,427
ÖVP,Geretsberg,289,258
ÖVP,Mauerkirchen,300,253
ÖVP,Baumgartenberg,397,351
ÖVP,Pabneukirchen,463,426
ÖVP,Ried in der Riedmark,843,822
ÖVP,St.Georgen am Walde,529,465
ÖVP,Aurolzmünster,456,425
ÖVP,Geiersberg,117,117
ÖVP,Geinberg,237,238
ÖVP,Ort im Innkreis,258,227
ÖVP,Reichersberg,317,295
ÖVP,Helfenberg,368,203
ÖVP,Gosau,310,270
ÖVP,Geboltskirchen,301,294
ÖVP,Heiligenberg,275,230
ÖVP,Pollham,221,252
ÖVP,St.Agatha,657,629
ÖVP,St.Thomas,151,128
ÖVP,Grünburg,652,579
ÖVP,Windischgarsten,423,372
ÖVP,Allhaming,283,277
ÖVP,Hofkirchen im Traunkreis,297,293
ÖVP,Taufkirchen an der Pram,610,548
ÖVP,Oberwang,531,501
ÖVP,Pilsbach,158,145
ÖVP,Redlham,278,272
ÖVP,St.Georgen im Attergau,816,753
ÖVP,Ungenach,386,362
ÖVP,Losenstein,290,279
ÖVP,Rohr im Kremstal,270,273
ÖVP,Ternberg,690,651
ÖVP,Waldneukirchen,566,500
ÖVP,Weyer,795,664
ÖVP,Alberndorf in der Riedmark,911,868
ÖVP,Eidenberg,629,586
ÖVP,Haibach im Mühlkreis,213,208
ÖVP,Lichtenberg,606,600
ÖVP,St.Gotthard im Mühlkreis,292,273
ÖVP,St.Oswald bei Haslach,133,125
ÖVP,Brunnenthal,408,364
ÖVP,Enzenkirchen,416,327
ÖVP,Riedau,325,274
ÖVP,Zell am Pettenfirst,283,230
ÖVP,Steinerkirchen an der Traun,641,600
ÖVP,Thalheim bei Wels,919,881
SPÖ,St.Johann am Walde,214,287
SPÖ,Hinzenbach,236,300
SPÖ,Pupping,191,271
SPÖ,Scharten,245,349
SPÖ,Königswiesen,238,351
SPÖ,Neumarkt im Mühlkreis,361,496
SPÖ,Sandl,223,254
SPÖ,Wartberg ob der Aist,563,812
SPÖ,Mühlviertel,35703,47176
SPÖ,Auerbach,20,38
SPÖ,Burgkirchen,179,252
SPÖ,Geretsberg,51,81
SPÖ,Mattighofen,544,684
SPÖ,Mining,96,127
SPÖ,Oftering,280,390
SPÖ,St.Marien,583,735
SPÖ,Andrichsfurt,23,43
SPÖ,Antiesenhofen,79,99
SPÖ,Geiersberg,28,47
SPÖ,Geinberg,58,95
SPÖ,Hohenzell,113,181
SPÖ,Ohlsdorf,612,840
SPÖ,Scharnstein,575,761
SPÖ,Aistersheim,58,82
SPÖ,Kematen am Innbach,117,148
SPÖ,St.Agatha,142,190
SPÖ,Tollet,88,138
SPÖ,Edlbach,52,72
FPÖ,Munderfing,295,500
FPÖ,Perwang am Grabensee,102,188
FPÖ,Polling im Innkreis,144,230
FPÖ,St.Veit im Innkreis,51,87
FPÖ,Schalchen,354,662
FPÖ,Treubach,90,154
FPÖ,Pupping,228,335
FPÖ,Hagenberg im Mühlkreis,253,427
FPÖ,Königswiesen,331,596
FPÖ,Unterweitersdorf,179,283
FPÖ,Feldkirchen bei Mattighofen,300,441
FPÖ,Franking,88,163
FPÖ,Mauerkirchen,210,364
FPÖ,Kronstorf,296,551
FPÖ,Mörschwang,25,36
FPÖ,Weilbach,67,99
FPÖ,Auberg,59,83
FPÖ,Grünau im Almtal,210,355
FPÖ,Ohlsdorf,512,814
FPÖ,Traunkirchen,78,164
FPÖ,Eschenau im Hausruckkreis,137,233
FPÖ,Neumarkt im Hausruckkreis,153,222
FPÖ,Pötting,46,59
FPÖ,Pram,225,307
FPÖ,St.Thomas,56,109
FPÖ,Kirchdorf an der Krems,288,10426
FPÖ,Klaus an der Pyhrnbahn,87,142
FPÖ,Kremsmünster,519,867
FPÖ,Molln,359,593
FPÖ,Schlierbach,260,423
FPÖ,St.Aegidi,230,352
FPÖ,St.Florian am Inn,351,540
FPÖ,Dietach,267,415
FPÖ,Garsten,547,993
KPÖ,Klaffer am Hochficht,0,1
KPÖ,Kollerschlag,1,0
KPÖ,Nebelberg,2,2
KPÖ,Neufelden,1,8
KPÖ,Oepping,5,2
KPÖ,St.Johann am Wimberg,2,1
KPÖ,St.Martin im Mühlkreis,6,5
KPÖ,St.Oswald bei Haslach,1,0
KPÖ,Sarleinsbach,7,4
KPÖ,Esternberg,9,0
KPÖ,Raab,9,8
KPÖ,Bachmanning,2,0
KPÖ,Holzhausen,0,2
KPÖ,Thalheim bei Wels,14,8
NEOS,St.Veit im Innkreis,8,5
NEOS,Ueberackern,11,7
NEOS,Aschach an der Donau,64,45
NEOS,Fraham,89,43
NEOS,Prambachkirchen,98,64
NEOS,Hagenberg im Mühlkreis,108,95
NEOS,Kaltenberg,21,10
NEOS,Sandl,46,29
NEOS,Schönau im Mühlkreis,46,34
NEOS,Unterweißenbach,43,33
NEOS,Unterweitersdorf,84,47
NEOS,Bad Zell,86,67
NEOS,Mühlviertel,12693,8664
NEOS,Steyr,1936,1485
NEOS,Helpfau-Uttendorf,73,56
NEOS,Höhnhart,16,15
NEOS,St.Marien,205,171
NEOS,Traun,509,374
NEOS,Dimbach,25,12
NEOS,Langenstein,58,46
NEOS,Windhaag bei Perg,37,27
NEOS,Schildorn,41,28
NEOS,Senftenbach,20,24
NEOS,Wippenham,18,14
NEOS,Helfenberg,91,24
NEOS,Michaelnbach,28,18
NEOS,Kirchdorf an der Krems,136,2000
NEOS,Hinterstoder,34,24
NEOS,Inzersdorf im Kremstal,59,34
NEOS,Wartberg an der Krems,105,72
NEOS,Asten,176,131
NEOS,Enns,367,264
NEOS,St.Aegidi,27,19
NEOS,Lenzing,147,78
NEOS,Neukirchen an der Vöckla,82,60
NEOS,Oberhofen am Irrsee,51,37
NEOS,Pilsbach,19,15
NEOS,Regau,195,148
NEOS,Rüstorf,72,46
NEOS,Tiefgraben,158,97
NEOS,Ungenach,46,45
NEOS,Vöcklamarkt,160,115
NEOS,Weyer,108,79
NEOS,Bad Leonfelden,168,123
NEOS,Lichtenberg,160,122
NEOS,Oberneukirchen,136,104
NEOS,Ottenschlag im Mühlkreis,18,5
NEOS,Puchenau,251,199
NEOS,Reichenau im Mühlkreis,52,27
NEOS,Walding,158,120
NEOS,Zwettl an der Rodl,59,56
NEOS,Ampflwang im Hausruckwald,52,63
NEOS,Lichtenau im Mühlkreis,6,5
NEOS,St.Martin im Mühlkreis,144,106
NEOS,St.Peter am Wimberg,75,49
NEOS,St.Veit im Mühlkreis,59,29
NEOS,Andorf,123,75
NEOS,Zell am Pettenfirst,56,32
NEOS,Marchtrenk,435,308
SPÖ,Pettenbach,417,555
SPÖ,Eggendorf im Traunkreis,98,101
SPÖ,Hargelsberg,165,221
SPÖ,Sigharting,47,49
SPÖ,Zell an der Pram,119,180
SPÖ,Dietach,424,545
SPÖ,Garsten,763,1011
SPÖ,Manning,75,116
SPÖ,Oberwang,44,61
SPÖ,St.Georgen im Attergau,249,370
SPÖ,Schörfling am Attersee,366,497
SPÖ,Seewalchen am Attersee,591,885
SPÖ,Losenstein,248,294
SPÖ,Urfahr-Umgebung,10531,15022
SPÖ,Kirchschlag bei Linz,175,262
SPÖ,Lichtenberg,260,384
SPÖ,Ottensheim,393,750
SPÖ,Puchenau,465,728
SPÖ,Reichenthal,136,201
SPÖ,Attersee,115,218
SPÖ,Schwarzenberg am Böhmerwald,54,56
SPÖ,Diersbach,115,169
SPÖ,Kopfing im Innkreis,117,152
SPÖ,Weyregg am Attersee,122,189
SPÖ,Marchtrenk,1798,2131
SPÖ,Sipbachzell,152,198
SPÖ,Stadl-Paura,503,650
SPÖ,Steinhaus,158,215
KPÖ,Schalchen,10,8
KPÖ,Weng im Innkreis,0,0
KPÖ,Neumarkt im Mühlkreis,18,12
KPÖ,Rainbach im Mühlkreis,12,12
KPÖ,Altmünster,18,20
KPÖ,Auerbach,1,2
KPÖ,Maria Schmolln,4,3
KPÖ,Piberbach,8,6
KPÖ,Kirchdorf am Inn,0,1
KPÖ,Lohnsburg am Kobernaußerwald,3,3
KPÖ,Pramet,3,4
KPÖ,Rohrbach,170,176
KPÖ,Arnreit,1,4
KPÖ,Roitham,4,8
KPÖ,Vorchdorf,14,17
KPÖ,Grieskirchen,155,169
KPÖ,Aistersheim,1,3
KPÖ,Bad Schallerbach,10,10
KPÖ,Kematen am Innbach,2,1
KPÖ,St.Georgen bei Grieskirchen,4,3
KPÖ,St.Thomas,1,2
KPÖ,Oberschlierbach,0,0
KPÖ,Ried im Traunkreis,1,4
KPÖ,Waldkirchen am Wesen,1,1
KPÖ,Dietach,5,6
KPÖ,Frankenburg am Hausruck,10,3
KPÖ,Mondsee,5,9
KPÖ,Ottnang am Hausruck,10,6
KPÖ,Schwanenstadt,9,9
KPÖ,Tiefgraben,3,2
KPÖ,Gramastetten,6,18
KPÖ,Herzogsdorf,5,7
KPÖ,Kirchschlag bei Linz,5,9
KPÖ,Ottensheim,14,27
SLP,Ostermiething,0,0
SLP,Polling im Innkreis,0,0
SLP,Roßbach,0,0
SLP,Eferding,8,3
SLP,Stroheim,0,0
SLP,Königswiesen,0,0
SLP,Neumarkt im Mühlkreis,0,0
SLP,Wartberg ob der Aist,1,0
SLP,Aspach,0,0
SLP,Braunau am Inn,3,3
SLP,Feldkirchen bei Mattighofen,0,0
SLP,Geretsberg,0,0
SLP,Jeging,0,0
SLP,Moosbach,1,0
SLP,Dimbach,0,0
SLP,Klam,0,0
SLP,Mauthausen,1,1
SLP,Andrichsfurt,0,0
SLP,Antiesenhofen,0,0
SLP,Eberschwang,1,0
SLP,Mettmach,0,0
SLP,Mühlheim am Inn,1,0
SLP,St.Georgen b. Obernberg am Inn,0,0
SLP,Waldzell,0,0
SLP,Arnreit,0,0
SLP,Kirchberg ob der Donau,0,0
SLP,St.Martin im Mühlkreis,0,1
SLP,Obertraun,0,0
SLP,Rottenbach,0,0
SLP,Tollet,0,0
SLP,Peuerbach,0,0
SLP,Kremsmünster,0,0
SLP,Schlierbach,0,0
SLP,Hargelsberg,1,0
SLP,Kirchberg-Thening,1,0
SLP,Leonding,2,2
SLP,Neuhofen an der Krems,0,1
SLP,Oftering,0,1
SLP,Waldneukirchen,0,0
SLP,Pöndorf,0,0
SLP,Schörfling am Attersee,1,2
SLP,Unterach am Attersee,0,0
SLP,Wels-Land,12,6
SLP,Buchkirchen,1,0
SLP,Pennewang,0,0
SLP,Sipbachzell,0,0
SLP,Reichenau im Mühlkreis,0,0
SLP,St.Gotthard im Mühlkreis,0,0
SLP,Sonnberg im Mühlkreis,0,0
SLP,Gampern,1,0
SLP,Manning,0,0
SLP,St.Veit im Mühlkreis,0,1
SLP,Sarleinsbach,0,0
SLP,Helfenberg,0,0
SLP,Brunnenthal,0,0
SLP,Münzkirchen,0,1
SLP,St.Willibald,0,0
SLP,Sigharting,0,0
SLP,Steyr-Land,18,5
SPÖ,St.Marienkirchen an d. Polsenz,278,338
GRÜNE,Linz,32544,9517
SPÖ,Linz,49210,70825
SPÖ,Jeging,47,65
FPÖ,Wels,9958,16352
NEOS,Linz,13762,9872
FPÖ,Desselbrunn,173,312
FPÖ,Frankenburg am Hausruck,616,952
FPÖ,St.Georgen im Attergau,437,706
FPÖ,St.Lorenz,163,321
FPÖ,Schwanenstadt,399,597
FPÖ,Laussa,131,235
FPÖ,St.Ulrich bei Steyr,271,438
FPÖ,Gramastetten,332,561
FPÖ,Ottensheim,249,388
FPÖ,Zwettl an der Rodl,102,201
FPÖ,Peilstein im Mühlviertel,120,236
FPÖ,Putzleinsdorf,140,234
FPÖ,Neustift im Mühlkreis,93,126
FPÖ,St.Martin im Mühlkreis,331,557
FPÖ,Kopfing im Innkreis,303,463
FPÖ,Münzkirchen,332,537
FPÖ,Raab,345,495
FPÖ,Offenhausen,217,310
GRÜNE,St.Veit im Innkreis,7,4
GRÜNE,Hartkirchen,256,60
GRÜNE,Prambachkirchen,144,56
GRÜNE,Freistadt,6151,1839
GRÜNE,Pregarten,357,89
GRÜNE,Rainbach im Mühlkreis,175,52
GRÜNE,Windhaag bei Freistadt,82,23
GRÜNE,Gmunden,9026,2386
GRÜNE,Oberösterreich,115983,32792
GRÜNE,Feldkirchen bei Mattighofen,91,19
GRÜNE,Lengau,158,55
GRÜNE,Mattighofen,201,54
GRÜNE,Kronstorf,195,38
GRÜNE,St.Florian,424,126
GRÜNE,Pasching,443,122
GRÜNE,Traun,1006,278
GRÜNE,Katsdorf,260,74
GRÜNE,Pabneukirchen,65,17
GRÜNE,Rechberg,45,13
GRÜNE,St.Thomas am Blasenstein,27,9
GRÜNE,Ried im Innkreis,612,1466
GRÜNE,Mehrnbach,89,31
GRÜNE,Mettmach,52,15
GRÜNE,Ort im Innkreis,53,15
GRÜNE,St.Martin im Innkreis,84,26
GRÜNE,Vorchdorf,494,164
GRÜNE,Aistersheim,49,7
GRÜNE,Gaspoltshofen,178,69
GRÜNE,Pollham,76,24
GRÜNE,Waizenkirchen,218,69
GRÜNE,Wallern an der Trattnach,193,59
GRÜNE,Kremsmünster,397,102
GRÜNE,Pettenbach,321,96
GRÜNE,Taufkirchen an der Pram,109,31
GRÜNE,Waldkirchen am Wesen,49,9
GRÜNE,Berg im Attergau,50,15
GRÜNE,Oberhofen am Irrsee,73,19
GRÜNE,St.Georgen im Attergau,218,66
GRÜNE,Vöcklabruck,11667,3326
GRÜNE,Pfarrkirchen bei Bad Hall,136,28
GRÜNE,Bad Leonfelden,262,61
GRÜNE,Haibach im Mühlkreis,66,15
GRÜNE,Oepping,82,28
GRÜNE,Diersbach,83,30
GRÜNE,Enzenkirchen,46,8
ÖVP,Moosbach,207,169
ÖVP,Moosdorf,309,273
ÖVP,Munderfing,594,525
ÖVP,Neukirchen an der Enknach,530,457
ÖVP,Palting,278,232
ÖVP,St.Pantaleon,577,482
ÖVP,St.Veit im Innkreis,103,91
ÖVP,Hartkirchen,940,872
ÖVP,Neumarkt im Mühlkreis,712,666
ÖVP,Innviertel,54648,47826
ÖVP,Altheim,885,715
ÖVP,Mining,290,296
ÖVP,Kronstorf,594,521
ÖVP,Niederneukirchen,455,481
ÖVP,Oftering,395,366
ÖVP,Pasching,1067,965
ÖVP,Perg,18136,16510
ÖVP,Luftenberg an der Donau,676,540
ÖVP,Eberschwang,575,471
ÖVP,Lambrechten,340,341
ÖVP,Lohnsburg am Kobernaußerwald,539,472
ÖVP,Mehrnbach,463,408
ÖVP,Neuhofen im Innkreis,490,448
ÖVP,Auberg,170,178
ÖVP,Traunkirchen,349,295
ÖVP,Aistersheim,161,184
ÖVP,Bad Schallerbach,598,654
ÖVP,Gallspach,359,380
ÖVP,Hofkirchen an der Trattnach,352,335
ÖVP,Steegen,273,274
ÖVP,Tollet,210,212
ÖVP,Wallern an der Trattnach,540,481
ÖVP,Nußbach,625,575
ÖVP,Wartberg an der Krems,682,679
ÖVP,Asten,797,675
ÖVP,Eggendorf im Traunkreis,202,187
ÖVP,St.Aegidi,484,442
ÖVP,Aurach am Hongar,330,261
ÖVP,Manning,193,164
ÖVP,Straß im Attergau,336,321
ÖVP,Sierning,1437,1347
ÖVP,Altenberg bei Linz,1197,1243
ÖVP,Reichenau im Mühlkreis,308,289
ÖVP,Kleinzell im Mühlkreis,389,362
ÖVP,Oepping,459,437
ÖVP,Peilstein im Mühlviertel,511,476
ÖVP,St.Ulrich im Mühlkreis,190,171
ÖVP,Sarleinsbach,738,690
ÖVP,Ulrichsberg,718,666
ÖVP,Esternberg,791,670
ÖVP,Lambach,437,370
ÖVP,Offenhausen,358,366
ÖVP,Pichl bei Wels,548,548
ÖVP,Schleißheim,273,249
ÖVP,Stadl-Paura,571,430
ÖVP,Steinhaus,422,333
ÖVP,Weißkirchen an der Traun,681,596
SPÖ,Ostermiething,152,248
SPÖ,Weng im Innkreis,100,142
SPÖ,Haibach ob der Donau,163,193
SPÖ,St.Oswald bei Freistadt,379,491
SPÖ,Unterweißenbach,166,211
SPÖ,Unterweitersdorf,367,450
SPÖ,Waldburg,136,201
SPÖ,Braunau am Inn,1555,14926
SPÖ,Feldkirchen bei Mattighofen,101,165
SPÖ,Haigermoos,36,53
SPÖ,Hochburg-Ach,151,261
SPÖ,Mauerkirchen,175,255
SPÖ,Katsdorf,411,563
SPÖ,St.Georgen am Walde,260,320
SPÖ,Waldhausen im Strudengau,362,458
SPÖ,Eberschwang,343,473
SPÖ,Eitzing,53,89
SPÖ,Kirchdorf am Inn,33,53
SPÖ,Ort im Innkreis,71,93
SPÖ,Utzenaich,106,151
SPÖ,Weilbach,31,44
SPÖ,St.Wolfgang im Salzkammergut,274,334
SPÖ,Kallham,215,296
SPÖ,Natternbach,230,290
SPÖ,Schlüßlberg,439,574
FPÖ,Moosbach,165,241
FPÖ,Moosdorf,187,271
FPÖ,Palting,117,176
FPÖ,Aschach an der Donau,206,311
FPÖ,Haibach ob der Donau,123,230
FPÖ,Freistadt,7411,12094
FPÖ,Kefermarkt,194,315
FPÖ,Liebenau,143,253
FPÖ,Pierbach,132,212
FPÖ,Sandl,124,226
FPÖ,St.Leonhard bei Freistadt,120,243
FPÖ,Waldburg,109,186
FPÖ,Linz und Umgebung,27420,46052
FPÖ,Braunau am Inn,1220,20742
FPÖ,Burgkirchen,290,438
FPÖ,Helpfau-Uttendorf,326,544
FPÖ,Hochburg-Ach,187,323
FPÖ,Lochen,331,507
FPÖ,Leonding,1989,3407
FPÖ,Arbing,127,215
FPÖ,Dimbach,94,168
FPÖ,Münzbach,184,297
FPÖ,Pabneukirchen,177,283
FPÖ,St.Nikola an der Donau,44,92
FPÖ,Hohenzell,215,341
FPÖ,Lambrechten,195,293
FPÖ,Wippenham,58,98
FPÖ,Arnreit,113,173
FPÖ,Hofkirchen im Mühlkreis,116,222
FPÖ,Gosau,110,234
FPÖ,Laakirchen,768,1360
FPÖ,Scharnstein,415,669
FPÖ,Vorchdorf,771,1298
FPÖ,Geboltskirchen,148,218
FPÖ,Edlbach,51,85
FPÖ,Micheldorf in Oberösterreich,514,883
FPÖ,Ried im Traunkreis,333,484
FPÖ,Rosenau am Hengstpaß,64,104
FPÖ,St.Pankraz,67,85
FPÖ,Windischgarsten,193,313
FPÖ,St.Roman,252,444
FPÖ,Atzbach,128,242
KPÖ,Attersee,2,9
KPÖ,Niederwaldkirchen,4,5
KPÖ,Altschwendt,1,2
KPÖ,Eggerding,5,4
KPÖ,Aichkirchen,0,0
KPÖ,Bad Wimsbach-Neydharting,6,5
KPÖ,Eberstalzell,12,4
KPÖ,Marchtrenk,31,36
KPÖ,Sattledt,4,5
NEOS,Ostermiething,70,44
NEOS,Polling im Innkreis,15,13
NEOS,St.Georgen am Fillmannsbach,8,7
NEOS,Stroheim,56,44
NEOS,Gutau,51,41
NEOS,Hirschbach im Mühlkreis,62,20
NEOS,Pierbach,23,19
NEOS,Waldburg,55,39
NEOS,Weitersfelden,30,22
NEOS,Gmunden,5043,3513
NEOS,Altmünster,446,334
NEOS,Oberösterreich,61853,42556
NEOS,Linz und Umgebung,15369,10399
NEOS,Innviertel,7663,5256
NEOS,Auerbach,17,9
NEOS,Lochen,94,72
NEOS,Leonding,1196,915
NEOS,Pucking,153,129
NEOS,Perg,2805,1948
NEOS,Klam,24,10
NEOS,Waldhausen im Strudengau,49,44
NEOS,Antiesenhofen,22,13
NEOS,Hohenzell,101,86
NEOS,Mettmach,49,38
NEOS,Obernberg am Inn,35,17
NEOS,Pattigham,27,19
NEOS,St.Marienkirchen am Hausruck,42,31
NEOS,Taiskirchen im Innkreis,78,56
NEOS,Arnreit,50,32
NEOS,Auberg,18,18
NEOS,Gschwandt,115,87
NEOS,St.Wolfgang im Salzkammergut,51,53
NEOS,Traunkirchen,55,53
NEOS,Gallspach,60,44
NEOS,Pötting,26,10
NEOS,Rottenbach,30,24
NEOS,Waizenkirchen,117,81
NEOS,Spital am Pyhrn,49,28
NEOS,Kematen an der Krems,108,81
NEOS,Kirchberg-Thening,139,90
NEOS,St.Florian am Inn,74,50
NEOS,St.Willibald,27,20
NEOS,Dietach,92,83
NEOS,Gaflenz,68,51
NEOS,Oberwang,30,32
NEOS,Straß im Attergau,45,33
NEOS,Losenstein,27,25
NEOS,Rohr im Kremstal,50,30
NEOS,Eidenberg,96,65
NEOS,Feldkirchen an der Donau,171,149
NEOS,Hellmonsödt,103,94
NEOS,Reichenthal,50,39
NEOS,St.Gotthard im Mühlkreis,39,41
NEOS,Nebelberg,11,8
NEOS,Neufelden,35,30
NEOS,St.Johann am Wimberg,35,17
NEOS,Sarleinsbach,75,54
NEOS,Dorf an der Pram,37,25
NEOS,Wels-Land,3502,2416
NEOS,Holzhausen,48,35
NEOS,Pennewang,33,19
NEOS,Steinhaus,84,66
SPÖ,Hörsching,747,921
SPÖ,St.Florian am Inn,283,390
SPÖ,St.Willibald,93,109
SPÖ,Schardenberg,103,142
SPÖ,Suben,100,131
SPÖ,Pfaffing,154,242
SPÖ,Rohr im Kremstal,137,174
SPÖ,Waldneukirchen,202,274
SPÖ,Feldkirchen an der Donau,674,925
SPÖ,St.Oswald bei Haslach,53,72
SPÖ,St.Peter am Wimberg,151,185
SPÖ,Andorf,540,666
SPÖ,Wolfsegg am Hausruck,238,301
SPÖ,Bachmanning,68,82
SPÖ,Bad Wimsbach-Neydharting,252,358
SPÖ,Edt bei Lambach,226,304
SPÖ,Fischlham,120,170
SPÖ,Schleißheim,120,168
KPÖ,Moosbach,1,0
KPÖ,Ostermiething,6,7
KPÖ,Liebenau,4,1
KPÖ,Gmunden,398,381
KPÖ,Steyr,288,286
KPÖ,Geretsberg,3,2
KPÖ,Gilgenberg am Weilhart,1,2
KPÖ,Kirchberg bei Mattighofen,1,1
KPÖ,Niederneukirchen,7,1
KPÖ,St.Marien,16,10
KPÖ,Katsdorf,7,15
KPÖ,Langenstein,7,7
KPÖ,Mitterkirchen im Machland,3,2
KPÖ,Naarn im Machlande,7,4
KPÖ,Rechberg,2,1
KPÖ,Saxen,2,2
KPÖ,Schwertberg,11,7
KPÖ,Altenfelden,6,4
KPÖ,Hofkirchen im Mühlkreis,2,6
KPÖ,Julbach,4,0
KPÖ,Grünau im Almtal,4,6
KPÖ,Gschwandt,8,4
KPÖ,Hallstatt,3,2
KPÖ,Ohlsdorf,19,9
KPÖ,Hofkirchen an der Trattnach,5,4
KPÖ,Meggenhofen,3,2
KPÖ,Pollham,1,3
KPÖ,Weibern,1,3
KPÖ,Edlbach,1,0
KPÖ,Grünburg,9,8
KPÖ,Micheldorf in Oberösterreich,12,12
KPÖ,Molln,10,10
KPÖ,Schlierbach,8,9
KPÖ,Hofkirchen im Traunkreis,2,7
KPÖ,Wernstein am Inn,4,0
KPÖ,Attnang-Puchheim,29,23
KPÖ,Pfaffing,1,3
KPÖ,Ungenach,0,4
KPÖ,Laussa,3,1
KPÖ,Losenstein,5,2
KPÖ,Pfarrkirchen bei Bad Hall,5,8
KPÖ,Sierning,18,28
KPÖ,Urfahr-Umgebung,273,374
KPÖ,Goldwörth,3,1
KPÖ,Lichtenberg,9,7
SLP,Palting,0,0
SLP,St.Johann am Walde,0,0
SLP,St.Peter am Hart,0,0
SLP,Scharten,1,0
SLP,Hagenberg im Mühlkreis,0,0
SLP,Sandl,0,0
SLP,Windhaag bei Freistadt,1,0
SLP,Innviertel,26,21
SLP,Mühlviertel,68,31
SLP,Haigermoos,0,0
SLP,Lochen,0,0
SLP,Katsdorf,0,0
