PARTEI,WAHLKREIS,'29.09.19','15.10.17'
ÖVP,Gurten,231,225
ÖVP,Altenfelden,518,471
ÖVP,Kirchberg ob der Donau,277,258
ÖVP,Hallstatt,85,85
ÖVP,Laakirchen,1314,1153
ÖVP,Roitham,379,344
ÖVP,Scharnstein,790,736
ÖVP,Pötting,206,200
ÖVP,Pram,290,317
ÖVP,Taufkirchen an der Trattnach,436,417
ÖVP,Schardenberg,632,610
ÖVP,Gaflenz,536,488
ÖVP,Atzbach,326,315
ÖVP,Frankenburg am Hausruck,959,846
ÖVP,Pfaffing,333,275
ÖVP,Pühret,128,123
ÖVP,Rüstorf,325,325
ÖVP,Vöcklabruck,31989,28530
ÖVP,Kirchschlag bei Linz,452,443
ÖVP,Ottensheim,771,798
ÖVP,Lichtenau im Mühlkreis,135,143
ÖVP,Niederwaldkirchen,485,477
ÖVP,Münzkirchen,676,593
ÖVP,Rainbach im Innkreis,376,354
ÖVP,Krenglbach,567,546
ÖVP,Marchtrenk,1657,1386
ÖVP,Pischelsdorf am Engelbach,408,397
ÖVP,St.Johann am Walde,405,340
ÖVP,Schalchen,742,598
ÖVP,Aschach an der Donau,304,291
ÖVP,Kefermarkt,492,475
ÖVP,Lasberg,776,684
ÖVP,Pierbach,297,227
ÖVP,Unterweitersdorf,396,383
ÖVP,Hausruckviertel,77480,69393
ÖVP,Eggelsberg,485,427
ÖVP,Geretsberg,289,258
ÖVP,Mauerkirchen,300,253
ÖVP,Baumgartenberg,397,351
ÖVP,Pabneukirchen,463,426
ÖVP,Ried in der Riedmark,843,822
ÖVP,St.Georgen am Walde,529,465
ÖVP,Aurolzmünster,456,425
ÖVP,Geiersberg,117,117
ÖVP,Geinberg,237,238
ÖVP,Ort im Innkreis,258,227
ÖVP,Reichersberg,317,295
ÖVP,Helfenberg,368,203
ÖVP,Gosau,310,270
ÖVP,Geboltskirchen,301,294
ÖVP,Heiligenberg,275,230
ÖVP,Pollham,221,252
ÖVP,St.Agatha,657,629
ÖVP,St.Thomas,151,128
ÖVP,Grünburg,652,579
ÖVP,Windischgarsten,423,372
ÖVP,Allhaming,283,277
ÖVP,Hofkirchen im Traunkreis,297,293
ÖVP,Taufkirchen an der Pram,610,548
ÖVP,Oberwang,531,501
ÖVP,Pilsbach,158,145
ÖVP,Redlham,278,272
ÖVP,St.Georgen im Attergau,816,753
ÖVP,Ungenach,386,362
ÖVP,Losenstein,290,279
ÖVP,Rohr im Kremstal,270,273
ÖVP,Ternberg,690,651
ÖVP,Waldneukirchen,566,500
ÖVP,Weyer,795,664
ÖVP,Alberndorf in der Riedmark,911,868
ÖVP,Eidenberg,629,586
ÖVP,Haibach im Mühlkreis,213,208
ÖVP,Lichtenberg,606,600
ÖVP,St.Gotthard im Mühlkreis,292,273
ÖVP,St.Oswald bei Haslach,133,125
ÖVP,Brunnenthal,408,364
ÖVP,Enzenkirchen,416,327
ÖVP,Riedau,325,274
ÖVP,Zell am Pettenfirst,283,230
ÖVP,Steinerkirchen an der Traun,641,600
ÖVP,Thalheim bei Wels,919,881
ÖVP,Moosbach,207,169
ÖVP,Moosdorf,309,273
ÖVP,Munderfing,594,525
ÖVP,Neukirchen an der Enknach,530,457
ÖVP,Palting,278,232
ÖVP,St.Pantaleon,577,482
ÖVP,St.Veit im Innkreis,103,91
ÖVP,Hartkirchen,940,872
ÖVP,Neumarkt im Mühlkreis,712,666
ÖVP,Innviertel,54648,47826
ÖVP,Altheim,885,715
ÖVP,Mining,290,296
ÖVP,Kronstorf,594,521
ÖVP,Niederneukirchen,455,481
ÖVP,Oftering,395,366
